ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGIDS	ALIGNMENT	QUINTILES
3212	Bola	snap / break (a stick)	khju³⁵	khju³⁵	kʰ j u ³⁵		283	kʰ j u ³⁵	kʰ j u ³⁵
3213	Lashi	snap / break (a stick)	lɔ̱ʔ⁵⁵ khjaːu⁵⁵	lɔ̱ʔ⁵⁵+khjaːu⁵⁵	l ɔ̱ ʔ ⁵⁵ + kʰ j aːu ⁵⁵		2417 1277	l ɔ̱ ʔ ⁵⁵ + kʰ j aːu ⁵⁵	l ɔ̱ ʔ ⁵⁵ + kʰ j aːu ⁵⁵
3214	Maru	snap / break (a stick)	khjuk⁵⁵	khjuk⁵⁵	kʰ j u k ⁵⁵		281	kʰ j u k ⁵⁵	kʰ j u k ⁵⁵
3215	Xiandao	snap / break (a stick)	khʐau³¹	khʐau³¹	kʰ ʐ au ³¹		283	kʰ ʐ au ³¹	kʰ ʐ au ³¹
3216	ProtoBurmish	snap / break (a stick)	*kjuX	kju³	k j u ³		283	k j u ³	k|k|k|k|k j|j|j|j|j u|u|u|u|u ³|³|³|³|³
3217	ProtoBurmish	snap / break (a stick)	*ʔkjuH	ˀkju²	ˀk j u ²		311	ˀk j u ²	?ˀk ?j ?u ?²
3218	OldBurmese	snow	nhaṅḥ	nhaṅḥ	nʰ a ṅ/ŋ ḥ/⁵		926	nʰ a ṅ/ŋ ḥ/⁵	nʰ a ṅ/ŋ ḥ/⁵
3219	Rangoon	snow	shi⁵⁵ n̥ĩ⁵⁵	shi⁵⁵+n̥ĩ⁵⁵	sʰ i ⁵⁵ + n̥ ĩ ⁵⁵		3722 1684	sʰ i ⁵⁵ + n̥ ĩ ⁵⁵	sʰ i ⁵⁵ + n̥ ĩ ⁵⁵
3220	Bola	snow	ŋɛ̱̃⁵⁵	ŋɛ̱̃⁵⁵	ŋ ɛ̱̃ ⁵⁵		927	ŋ ɛ̱̃ - ⁵⁵	ŋ ɛ̱̃ ⁵⁵
3221	OldBurmese	soak / steep	cim	cim	c i m		131	c i m -	c i m
3222	Rangoon	soak / steep	sẽ²²	sẽ²²	s ẽ ²²		131	s ẽ - ²²	s ẽ ²²
3223	AchangLongchuan	soak / steep	tsin⁵⁵	tsin⁵⁵	ts i n ⁵⁵		132	ts i n ⁵⁵	ts i n ⁵⁵
3224	Bola	soak / steep	tʃam⁵⁵	tʃam⁵⁵	tʃ a m ⁵⁵		131	tʃ a m ⁵⁵	tʃ a m ⁵⁵
3225	Maru	soak / steep	tʃam³¹	tʃam³¹	tʃ a m ³¹		130	tʃ a m ³¹	tʃ a m ³¹
3226	Xiandao	soak / steep	tsin⁵⁵	tsin⁵⁵	ts i n ⁵⁵		131	ts i n ⁵⁵	ts i n ⁵⁵
3227	ProtoBurmish	soak / steep	*dʒim	dʒim¹	dʒ i m ¹		131	dʒ i m ¹	dʒ|dʒ|dʒ|dʒ|dʒ i|i|i|i|i m|m|m|m|m ¹|¹|¹|¹|¹
3228	ProtoBurmish	soak / steep	*dzim	dzim¹	dz i m ¹		132	dz i m ¹	?dz ?i ?m ?¹
3229	Rangoon	soldier	siʔ⁴ tθɑ⁵³	siʔ⁴+tθɑ⁵³	s i ʔ ⁴ + tθ ɑ ⁵³		1913 93	s i ʔ ⁴ + - tθ ɑ - ⁵³	s i ʔ ⁴ + tθ ɑ ⁵³
3230	AchangLongchuan	soldier	ʑa⁵⁵ tsɔ³¹	ʑa⁵⁵+tsɔ³¹	ʑ a ⁵⁵ + ts ɔ ³¹		1914 93	ʑ a ⁵⁵ + - ts ɔ - ³¹	ʑ a ⁵⁵ + ts ɔ ³¹
3231	Atsi	soldier	kje⁵¹	kje⁵¹	k j e ⁵¹		190	k j e ⁵¹	k j e ⁵¹
3232	Bola	soldier	kjɛ⁵⁵	kjɛ⁵⁵	k j ɛ ⁵⁵		190	k j ɛ ⁵⁵	k j ɛ ⁵⁵
3233	Lashi	soldier	kji³¹	kji³¹	k j i ³¹		190	k j i ³¹	k j i ³¹
3234	Maru	soldier	kjɛ³¹	kjɛ³¹	k j ɛ ³¹		190	k j ɛ ³¹	k j ɛ ³¹
3235	ProtoBurmish	soldier	*gjɛ	gjɛ¹	g j ɛ ¹		190	g j ɛ ¹	g|g|g|g|ˀk j|j|j|j|j ɛ|ɛ|ɛ|ɛ|ɛ ¹|¹|¹|¹|¹
3236	AchangLongchuan	sore / boil	pʐəŋ⁵⁵	pʐəŋ⁵⁵	p ʐ ə ŋ ⁵⁵		47	p ʐ ə ŋ ⁵⁵	p ʐ ə ŋ ⁵⁵
3237	Atsi	sore / boil	pjiŋ⁵¹	pjiŋ⁵¹	p j i ŋ ⁵¹		48	p j i ŋ ⁵¹	p j i ŋ ⁵¹
3238	Bola	sore / boil	pjaŋ⁵⁵	pjaŋ⁵⁵	p j a ŋ ⁵⁵		48	p j a ŋ ⁵⁵	p j a ŋ ⁵⁵
3239	Lashi	sore / boil	pjiŋ³¹	pjiŋ³¹	p j i ŋ ³¹		48	p j i ŋ ³¹	p j i ŋ ³¹
3240	Maru	sore / boil	pjaŋ³¹	pjaŋ³¹	p j a ŋ ³¹		47	p j a ŋ ³¹	p j a ŋ ³¹
3241	Xiandao	sore / boil	pɯŋ⁵⁵	pɯŋ⁵⁵	p ɯ ŋ ⁵⁵		48	p - ɯ ŋ ⁵⁵	p ɯ ŋ ⁵⁵
3242	AchangLongchuan	soul / spirit	a³¹ pʐua⁵⁵	a³¹+pʐwa⁵⁵	a ³¹ + p ʐ w a ⁵⁵		1807 45	a ³¹ + p ʐ w a ⁵⁵	a ³¹ + p ʐ w a ⁵⁵
3243	Atsi	soul / spirit	sĕ²¹ pjo⁵¹	sĕ²¹+pjo⁵¹	s ĕ ²¹ + p j o ⁵¹		1808 46	s ĕ ²¹ + p j o - ⁵¹	s ĕ ²¹ + p j o ⁵¹
3244	Lashi	soul / spirit	sə̆⁵⁵ pju³¹	sə̆⁵⁵+pju³¹	s ə̆ ⁵⁵ + p j u ³¹		1809 46	s ə̆ ⁵⁵ + p j u - ³¹	s ə̆ ⁵⁵ + p j u ³¹
3245	Maru	soul / spirit	sə̆³¹ pjɔ³¹	sə̆³¹+pjɔ³¹	s ə̆ ³¹ + p j ɔ ³¹		1810 990	s ə̆ ³¹ + p j ɔ ³¹	s ə̆ ³¹ + p j ɔ ³¹
3246	Xiandao	soul / spirit	a³¹ pʐɔ⁵⁵	a³¹+pʐɔ⁵⁵	a ³¹ + p ʐ ɔ ⁵⁵		1811 46	a ³¹ + p ʐ ɔ - ⁵⁵	a ³¹ + p ʐ ɔ ⁵⁵
3247	ProtoBurmish	soul / spirit	*bja	bja¹	b j a ¹		46	b j a - ¹	b|b|b|b|b j|j|j|j|j a|a|a|a|a -|-|-|-|- ¹|¹|¹|¹|¹
3248	AchangLongchuan	sour	mʐək⁵⁵	mʐək⁵⁵	m ʐ ə k ⁵⁵		527	m ʐ ə k ⁵⁵	m ʐ ə k ⁵⁵
3249	ProtoBurmish	sour	*mrik	mrik⁴	m r i k ⁴		527	m r i k ⁴	?m ?r ?i ?k ?⁴
3250	OldBurmese	south	to₂ṅ	tOṅ	t o₂/ɔ ṅ/ŋ		86	t o₂/ɔ ṅ/ŋ -	t o₂/ɔ ṅ/ŋ
3251	Rangoon	south	tɑ̃u²²	tɑ̃u²²	t ɑ̃u ²²		1032	t ɑ̃u ²²	t ɑ̃u ²²
3252	Atsi	south	pjin²¹ tsu̱ŋ⁵¹	pjin²¹+tsu̱ŋ⁵¹	p j i n ²¹ + ts u̱ ŋ ⁵¹		1898 86	p j i n ²¹ + ts u̱ ŋ ⁵¹	p j i n ²¹ + ts u̱ ŋ ⁵¹
3253	Rangoon	sow	wɛʔ⁴ mɑ⁵³	wɛʔ⁴+mɑ⁵³	w ɛ ʔ ⁴ + m ɑ ⁵³		334 119	w ɛ ʔ ⁴ + m - ɑ - ⁵³	w ɛ ʔ ⁴ + m ɑ ⁵³
3254	AchangLongchuan	sow	o⁵⁵ tseŋ³⁵	o⁵⁵+tseŋ³⁵	o ⁵⁵ + ts e ŋ ³⁵		336 119	- o ⁵⁵ + - ts e ŋ ³⁵	o ⁵⁵ + ts e ŋ ³⁵
3255	Atsi	sow	vaʔ²¹ tsiŋ⁵¹	vaʔ²¹+tsiŋ⁵¹	v a ʔ ²¹ + ts i ŋ ⁵¹		334 119	v a ʔ ²¹ + - ts i ŋ ⁵¹	v a ʔ ²¹ + ts i ŋ ⁵¹
3256	Bola	sow	vaʔ³¹ taŋ⁵⁵	vaʔ³¹+taŋ⁵⁵	v a ʔ ³¹ + t a ŋ ⁵⁵		335 119	v a ʔ ³¹ + - t a ŋ ⁵⁵	v a ʔ ³¹ + t a ŋ ⁵⁵
3257	Lashi	sow	vuʔ³¹ tsəŋ³¹	vuʔ³¹+tsəŋ³¹	v u ʔ ³¹ + ts ə ŋ ³¹		334 119	v u ʔ ³¹ + - ts ə ŋ ³¹	v u ʔ ³¹ + ts ə ŋ ³¹
3258	Maru	sow	vɔʔ³¹ tsaŋ³¹	vɔʔ³¹+tsaŋ³¹	v ɔ ʔ ³¹ + ts a ŋ ³¹		335 119	v ɔ ʔ ³¹ + - ts a ŋ ³¹	v ɔ ʔ ³¹ + ts a ŋ ³¹
3259	Xiandao	sow	oʔ⁵⁵ tʂɯŋ⁵⁵	oʔ⁵⁵+tʂɯŋ⁵⁵	o ʔ ⁵⁵ + ʈʂ ɯ ŋ ⁵⁵		334 119	- o ʔ ⁵⁵ + - ʈʂ ɯ ŋ ⁵⁵	o ʔ ⁵⁵ + ʈʂ ɯ ŋ ⁵⁵
3260	ProtoBurmish	sow	*ʔo	ʔo¹	ʔ o ¹		336	ʔ o ¹	?ʔ ?o ?¹
3261	Atsi	spacious / commodious	lam⁵¹	lam⁵¹	l a m ⁵¹		344	l a m ⁵¹	l a m ⁵¹
3262	Bola	spacious / commodious	lɛ̃⁵⁵	lɛ̃⁵⁵	l ɛ̃ ⁵⁵		344	l ɛ̃ - ⁵⁵	l ɛ̃ ⁵⁵
3263	Maru	spacious / commodious	lɛ̃³¹	lɛ̃³¹	l ɛ̃ ³¹		344	l ɛ̃ - ³¹	l ɛ̃ ³¹
3264	Atsi	sparrow	tʃo⁵¹ khjaŋ⁵⁵	tʃo⁵¹+khjaŋ⁵⁵	tʃ o ⁵¹ + kʰ j a ŋ ⁵⁵		2321 1230	tʃ o ⁵¹ + kʰ j a ŋ ⁵⁵	tʃ o ⁵¹ + kʰ j a ŋ ⁵⁵
3265	Bola	sparrow	tʃə̆ʔ³¹ khjɔ̃³⁵	tʃə̆ʔ³¹+khjɔ̃³⁵	tʃ ə̆ ʔ ³¹ + kʰ j ɔ̃ ³⁵		2322 1231	tʃ ə̆ ʔ ³¹ + kʰ j ɔ̃ ³⁵	tʃ ə̆ ʔ ³¹ + kʰ j ɔ̃ ³⁵
3266	Lashi	sparrow	tʃo³¹ khjaŋ⁵³	tʃo³¹+khjaŋ⁵³	tʃ o ³¹ + kʰ j a ŋ ⁵³		2323 1232	tʃ o ³¹ + kʰ j a ŋ ⁵³	tʃ o ³¹ + kʰ j a ŋ ⁵³
3267	Maru	sparrow	tʃɔ̆³¹ khjɔ̃⁵⁵	tʃɔ̆³¹+khjɔ̃⁵⁵	tʃ ɔ̆ ³¹ + kʰ j ɔ̃ ⁵⁵		2324 1233	tʃ ɔ̆ ³¹ + kʰ j ɔ̃ ⁵⁵	tʃ ɔ̆ ³¹ + kʰ j ɔ̃ ⁵⁵
3268	Maru	sparrow hawk	ŋɔ̱ʔ⁵⁵ nɔʔ²¹	ŋɔ̱ʔ⁵⁵+nɔʔ²¹	ŋ ɔ̱ ʔ ⁵⁵ + n ɔ ʔ ²¹		680 3718	ŋ ɔ̱ ʔ ⁵⁵ + n ɔ ʔ ²¹	ŋ ɔ̱ ʔ ⁵⁵ + n ɔ ʔ ²¹
3269	Bola	speak	ti̱³⁵	ti̱³⁵	t i̱ ³⁵		884	t i̱ - ³⁵	t i̱ ³⁵
3270	Atsi	speech / words	taŋ²¹	taŋ²¹	t a ŋ ²¹		72	- t a ŋ ²¹	t a ŋ ²¹
3271	Bola	speech / words	tɔ̃³¹	tɔ̃³¹	t ɔ̃ ³¹		72	- t ɔ̃ - ³¹	t ɔ̃ ³¹
3272	Lashi	speech / words	taŋ³³ kje̱i⁵³	taŋ³³+kje̱i⁵³	t a ŋ ³³ + k j e̱i ⁵³		72 1886	- t a ŋ ³³ + k j e̱i ⁵³	t a ŋ ³³ + k j e̱i ⁵³
3273	Maru	speech / words	tɔ̃³⁵	tɔ̃³⁵	t ɔ̃ ³⁵		72	- t ɔ̃ - ³⁵	t ɔ̃ ³⁵
3274	OldBurmese	spider	paṅʔ ku	paṅʔ+ku	p a ṅ/ŋ ʔ + k u		2112 163	p a ṅ/ŋ ʔ + k u -	p a ṅ/ŋ ʔ + k u
3275	Rangoon	spider	pĩ⁵³ ku²²	pĩ⁵³+ku²²	p ĩ ⁵³ + k u ²²		2113 164	p ĩ ⁵³ + k u - ²²	p ĩ ⁵³ + k u ²²
3276	AchangLongchuan	spider	kuŋ³¹ kai³⁵ ʑai⁵⁵	kuŋ³¹+kai³⁵+ʑai⁵⁵	k u ŋ ³¹ + k ai ³⁵ + ʑ ai ⁵⁵		2114 1153 2115	k u ŋ ³¹ + k ai ³⁵ + ʑ ai ⁵⁵	k u ŋ ³¹ + k ai ³⁵ + ʑ ai ⁵⁵
3277	Atsi	spider	lă²¹ kaŋ²¹	lă²¹+kaŋ²¹	l ă ²¹ + k a ŋ ²¹		2116 164	l ă ²¹ + k a ŋ ²¹	l ă ²¹ + k a ŋ ²¹
3278	Bola	spider	phi³¹ kɔ̃³¹	phi³¹+kɔ̃³¹	pʰ i ³¹ + k ɔ̃ ³¹		2117 164	pʰ i ³¹ + k ɔ̃ - ³¹	pʰ i ³¹ + k ɔ̃ ³¹
3279	Lashi	spider	laʔ³¹ kaŋ³³	laʔ³¹+kaŋ³³	l a ʔ ³¹ + k a ŋ ³³		2118 164	l a ʔ ³¹ + k a ŋ ³³	l a ʔ ³¹ + k a ŋ ³³
3280	Maru	spider	phjɔ̆³¹ kɔ̃³⁵	phjɔ̆³¹+kɔ̃³⁵	pʰ j ɔ̆ ³¹ + k ɔ̃ ³⁵		2119 164	pʰ j ɔ̆ ³¹ + k ɔ̃ - ³⁵	pʰ j ɔ̆ ³¹ + k ɔ̃ ³⁵
3281	Xiandao	spider	koŋ³¹ kau⁵⁵	koŋ³¹+kau⁵⁵	k o ŋ ³¹ + k au ⁵⁵		2120 164	k o ŋ ³¹ + k au - ⁵⁵	k o ŋ ³¹ + k au ⁵⁵
3282	ProtoBurmish	spider	*gʊ	gʊ¹	g ʊ ¹		163	g ʊ ¹	?g ?ʊ ?¹
3283	ProtoBurmish	spider	*gaŋH	gaŋ²	g a ŋ ²		164	g a ŋ ²	g|g|g|g|g a|a|a|a|a ŋ|ŋ|ŋ|ŋ|- ²|²|²|²|²
3284	Atsi	split up (bamboo pole)	koʔ²¹	koʔ²¹	k o ʔ ²¹		143	k o ʔ ²¹	k o ʔ ²¹
3285	Maru	split up (bamboo pole)	kɔʔ³¹	kɔʔ³¹	k ɔ ʔ ³¹		143	k ɔ ʔ ³¹	k ɔ ʔ ³¹
3286	Bola	split up (bamboo strips)	phja⁵⁵	phja⁵⁵	pʰ j a ⁵⁵		508	pʰ j a ⁵⁵	pʰ j a ⁵⁵
3287	Lashi	split up (bamboo strips)	phjɔː³³	phjɔː³³	pʰ j ɔː ³³		508	pʰ j ɔː ³³	pʰ j ɔː ³³
3288	Maru	split up (bamboo strips)	phjɔ³¹	phjɔ³¹	pʰ j ɔ ³¹		508	pʰ j ɔ ³¹	pʰ j ɔ ³¹
3289	ProtoBurmish	split up (bamboo strips)	*pja	pja¹	p j a ¹		508	p j a ¹	( p j a ¹ )
3290	Maru	spoon	ʃɔ³¹	ʃɔ³¹	ʃ ɔ ³¹		706	ʃ ɔ ³¹	ʃ ɔ ³¹
3291	Bola	spring (season)	kɔ³⁵ ŋjɛn³¹ jaʔ³¹	kɔ³⁵+ŋjɛn³¹+jaʔ³¹	k ɔ ³⁵ + ŋ j ɛ n ³¹ + j a ʔ ³¹		2215 2216 210	k ɔ ³⁵ + ŋ j ɛ n ³¹ + j a ʔ ³¹	k ɔ ³⁵ + ŋ j ɛ n ³¹ + j a ʔ ³¹
3292	Atsi	spring (water)	vui⁵¹ tho⁵¹	vui⁵¹+tho⁵¹	v ui ⁵¹ + tʰ o ⁵¹		3227 1531	v ui ⁵¹ + tʰ o ⁵¹	v ui ⁵¹ + tʰ o ⁵¹
3293	Maru	spring (water)	ɣək³¹ thuk⁵⁵	ɣək³¹+thuk⁵⁵	ɣ ə k ³¹ + tʰ u k ⁵⁵		3228 1532	ɣ ə k ³¹ + tʰ u k ⁵⁵	ɣ ə k ³¹ + tʰ u k ⁵⁵
3294	Bola	sprinkle / spray	ta̱k⁵⁵	ta̱k⁵⁵	t a̱ k ⁵⁵		890	t a̱ k ⁵⁵	t a̱ k ⁵⁵
3295	Maru	sputum	khjauŋ³⁵ kjɔ̱ʔ⁵⁵	khjauŋ³⁵+kjɔ̱ʔ⁵⁵	kʰ j au ŋ ³⁵ + k j ɔ̱ ʔ ⁵⁵		3470 192	kʰ j au ŋ ³⁵ + k j ɔ̱ ʔ ⁵⁵	kʰ j au ŋ ³⁵ + k j ɔ̱ ʔ ⁵⁵
3296	Rangoon	stable / fence (horse)	mjĩ⁵⁵ zɑ̃u⁵⁵	mjĩ⁵⁵+zɑ̃u⁵⁵	m j ĩ ⁵⁵ + z ɑ̃u ⁵⁵		456 2803	m j ĩ - ⁵⁵ + z ɑ̃u ⁵⁵	m j ĩ ⁵⁵ + z ɑ̃u ⁵⁵
3297	AchangLongchuan	stable / fence (horse)	m̥ʐaŋ³¹ kok⁵⁵	m̥ʐaŋ³¹+kok⁵⁵	m̥ ʐ a ŋ ³¹ + k o k ⁵⁵		456 2804	m̥ ʐ a ŋ ³¹ + k o k ⁵⁵	m̥ ʐ a ŋ ³¹ + k o k ⁵⁵
3298	Atsi	stable / fence (horse)	mjaŋ²¹ khup⁵⁵	mjaŋ²¹+khup⁵⁵	m j a ŋ ²¹ + kʰ u p ⁵⁵		456 2805	m j a ŋ ²¹ + kʰ u p ⁵⁵	m j a ŋ ²¹ + kʰ u p ⁵⁵
3299	Bola	stable / fence (horse)	mjɔ̃³¹ khap⁵⁵	mjɔ̃³¹+khap⁵⁵	m j ɔ̃ ³¹ + kʰ a p ⁵⁵		456 2806	m j ɔ̃ - ³¹ + kʰ a p ⁵⁵	m j ɔ̃ ³¹ + kʰ a p ⁵⁵
3300	Lashi	stable / fence (horse)	mjaŋ³³ khɔm³³	mjaŋ³³+khɔm³³	m j a ŋ ³³ + kʰ ɔ m ³³		456 2807	m j a ŋ ³³ + kʰ ɔ m ³³	m j a ŋ ³³ + kʰ ɔ m ³³
3301	Maru	stable / fence (horse)	mjɔ̃³⁵ khap⁵⁵	mjɔ̃³⁵+khap⁵⁵	m j ɔ̃ ³⁵ + kʰ a p ⁵⁵		456 2808	m j ɔ̃ - ³⁵ + kʰ a p ⁵⁵	m j ɔ̃ ³⁵ + kʰ a p ⁵⁵
3302	Xiandao	stable / fence (horse)	m̥ʐaŋ³¹ koʔ³⁵	m̥ʐaŋ³¹+koʔ³⁵	m̥ ʐ a ŋ ³¹ + k o ʔ ³⁵		456 2809	m̥ ʐ a ŋ ³¹ + k o ʔ ³⁵	m̥ ʐ a ŋ ³¹ + k o ʔ ³⁵
3303	AchangLongchuan	stallion	m̥ʑaŋ³¹ lɔ³¹	m̥ʑaŋ³¹+lɔ³¹	m̥ ʑ a ŋ ³¹ + l ɔ ³¹		2455 331	m̥ ʑ a ŋ ³¹ + l ɔ ³¹	m̥ ʑ a ŋ ³¹ + l ɔ ³¹
3304	Atsi	stallion	mjaŋ²¹ lo²¹	mjaŋ²¹+lo²¹	m j a ŋ ²¹ + l o ²¹		2456 331	m j a ŋ ²¹ + l o ²¹	m j a ŋ ²¹ + l o ²¹
3305	Bola	stallion	mjɔ̃³¹ la³¹	mjɔ̃³¹+la³¹	m j ɔ̃ ³¹ + l a ³¹		2457 331	m j ɔ̃ ³¹ + l a ³¹	m j ɔ̃ ³¹ + l a ³¹
3306	Maru	stallion	mjɔ̃³¹ lɔ³⁵	mjɔ̃³¹+lɔ³⁵	m j ɔ̃ ³¹ + l ɔ ³⁵		2458 331	m j ɔ̃ ³¹ + l ɔ ³⁵	m j ɔ̃ ³¹ + l ɔ ³⁵
3307	Xiandao	stallion	m̥ʐaŋ³¹ lɔ³¹	m̥ʐaŋ³¹+lɔ³¹	m̥ ʐ a ŋ ³¹ + l ɔ ³¹		2459 331	m̥ ʐ a ŋ ³¹ + l ɔ ³¹	m̥ ʐ a ŋ ³¹ + l ɔ ³¹
3308	Atsi	stamp (one's foot)	naŋ²¹ thiŋ⁵⁵	naŋ²¹+thiŋ⁵⁵	n a ŋ ²¹ + tʰ i ŋ ⁵⁵		485 891	n - a ŋ ²¹ + tʰ i ŋ - ⁵⁵	n a ŋ ²¹ + tʰ i ŋ ⁵⁵
3309	Bola	stamp (one's foot)	nɔ̃³¹ thaŋ³⁵	nɔ̃³¹+thaŋ³⁵	n ɔ̃ ³¹ + tʰ a ŋ ³⁵		485 892	n - ɔ̃ - ³¹ + tʰ a ŋ ³⁵	n ɔ̃ ³¹ + tʰ a ŋ ³⁵
3310	Lashi	stamp (one's foot)	naŋ³¹ thəːŋ⁵³	naŋ³¹+thəːŋ⁵³	n a ŋ ³¹ + tʰ əː ŋ ⁵³		485 891	n - a ŋ ³¹ + tʰ əː ŋ - ⁵³	n a ŋ ³¹ + tʰ əː ŋ ⁵³
3311	Maru	stamp (one's foot)	nɔ̃³⁵ thaŋ⁵⁵	nɔ̃³⁵+thaŋ⁵⁵	n ɔ̃ ³⁵ + tʰ a ŋ ⁵⁵		485 892	n - ɔ̃ - ³⁵ + tʰ a ŋ ⁵⁵	n ɔ̃ ³⁵ + tʰ a ŋ ⁵⁵
3312	AchangLongchuan	stamp (one's foot)	thəŋ³⁵	thəŋ³⁵	tʰ ə ŋ ³⁵		891	tʰ ə ŋ - ³⁵	tʰ ə ŋ ³⁵
3313	Xiandao	stamp (one's foot)	thɤŋ³⁵	thɤŋ³⁵	tʰ ɤ ŋ ³⁵		891	tʰ ɤ ŋ - ³⁵	tʰ ɤ ŋ ³⁵
3314	ProtoBurmish	stamp (one's foot)	*ʔtiŋX	ˀtiŋ³	ˀt i ŋ ³		891	ˀt i ŋ - ³	( ˀt i ŋ ³ )
3315	ProtoBurmish	stamp (one's foot)	*tiŋX	tiŋ³	t i ŋ ³		892	t i ŋ ³	( t i ŋ ³ )
3316	OldBurmese	stand	ryap	rjap	r j a p		217	r j a p -	r j a p
3317	Rangoon	stand	jɑʔ⁴	jɑʔ⁴	j ɑ ʔ ⁴		217	- j ɑ ʔ ⁴	j ɑ ʔ ⁴
3318	AchangLongchuan	stand	ʑap⁵⁵	ʑap⁵⁵	ʑ a p ⁵⁵		217	- ʑ a p ⁵⁵	ʑ a p ⁵⁵
3319	Atsi	stand	jap²¹	jap²¹	j a p ²¹		217	- j a p ²¹	j a p ²¹
3320	Bola	stand	jɛʔ⁵⁵	jɛʔ⁵⁵	j ɛ ʔ ⁵⁵		217	- j ɛ ʔ ⁵⁵	j ɛ ʔ ⁵⁵
3321	Lashi	stand	jaːp³¹	jaːp³¹	j aː p ³¹		217	- j aː p ³¹	j aː p ³¹
3322	Maru	stand	jɛʔ³¹	jɛʔ³¹	j ɛ ʔ ³¹		217	- j ɛ ʔ ³¹	j ɛ ʔ ³¹
3323	Xiandao	stand	jap⁵⁵	jap⁵⁵	j a p ⁵⁵		217	- j a p ⁵⁵	j a p ⁵⁵
3324	ProtoBurmish	stand	*jap	jap⁴	j a p ⁴		217	- j a p ⁴	-|-|-|-|- j|j|j|j|j a|a|a|a|a p|p|p|p|p ⁴|⁴|⁴|⁴|¹
3325	OldBurmese	star	kray	krai	k r ai		290	k r ai -	k r ai
3326	Rangoon	star	tɕɛ²²	tɕɛ²²	tɕ ɛ ²²		280	tɕ - ɛ - ²²	tɕ ɛ ²²
3327	AchangLongchuan	star	khʐə⁵⁵	khʐə⁵⁵	kʰ ʐ ə ⁵⁵		280	kʰ ʐ ə - ⁵⁵	kʰ ʐ ə ⁵⁵
3328	Atsi	star	kji̱⁵¹	kji̱⁵¹	k j i̱ ⁵¹		280	k j i̱ - ⁵¹	k j i̱ ⁵¹
3329	Bola	star	kji̱⁵⁵	kji̱⁵⁵	k j i̱ ⁵⁵		275	k j i̱ ⁵⁵	k j i̱ ⁵⁵
3330	Lashi	star	kji̱³³	kji̱³³	k j i̱ ³³		280	k j i̱ - ³³	k j i̱ ³³
3331	Maru	star	kji̱³¹	kji̱³¹	k j i̱ ³¹		276	k j i̱ ³¹	k j i̱ ³¹
3332	ProtoBurmish	star	*ʔkji	ˀkji¹	ˀk j i ¹		275	ˀk j i ¹	?ˀk ?j ?i ?¹
3333	ProtoBurmish	star	*ʔkje	ˀkje¹	ˀk j e ¹		276	ˀk j e ¹	?ˀk ?j ?e ?¹
3334	ProtoBurmish	star	*grai	grai¹	g r ai ¹		290	g r ai ¹	?g ?r ?ai ?¹
3335	AchangLongchuan	start / drive (a car)	lui⁵⁵	lui⁵⁵	l ui ⁵⁵		828	l ui ⁵⁵	l ui ⁵⁵
3336	Bola	start / drive (a car)	la̱ŋ⁵⁵	la̱ŋ⁵⁵	l a̱ ŋ ⁵⁵		826	l a̱ ŋ ⁵⁵	l a̱ ŋ ⁵⁵
3337	Maru	start / drive (a car)	la̱ŋ³¹	la̱ŋ³¹	l a̱ ŋ ³¹		826	l a̱ ŋ ³¹	l a̱ ŋ ³¹
3338	ProtoBurmish	start / drive (a car)	*lui	lui¹	l ui ¹		828	l ui ¹	?l ?ui ?¹
3339	Maru	startle / disturb	kja̱uk⁵⁵	kja̱uk⁵⁵	k j a̱u k ⁵⁵		797	k j a̱u k ⁵⁵	k j a̱u k ⁵⁵
3340	Maru	startled, be / shy (of animals)	kjauk³¹	kjauk³¹	k j au k ³¹		197	k j au k ³¹	k j au k ³¹
3341	OldBurmese	steal	khuiwḥ	khui̯ḥ	kʰ ui̯ ḥ/⁵		811	kʰ ui̯ ḥ/⁵	kʰ ui̯ ḥ/⁵
3342	Rangoon	steal	kho⁵⁵	kho⁵⁵	kʰ o ⁵⁵		811	kʰ o ⁵⁵	kʰ o ⁵⁵
3343	AchangLongchuan	steal	xau³¹	xau³¹	x au ³¹		811	x au ³¹	x au ³¹
3344	Atsi	steal	khau²¹	khau²¹	kʰ au ²¹		1624	kʰ au ²¹	kʰ au ²¹
3345	Bola	steal	khau³¹	khau³¹	kʰ au ³¹		811	kʰ au ³¹	kʰ au ³¹
3346	Lashi	steal	khaːu⁵⁵	khaːu⁵⁵	kʰ aːu ⁵⁵		811	kʰ aːu ⁵⁵	kʰ aːu ⁵⁵
3347	Maru	steal	khuk⁵⁵	khuk⁵⁵	kʰ u k ⁵⁵		810	kʰ u k ⁵⁵	kʰ u k ⁵⁵
3348	Xiandao	steal	xau³¹	xau³¹	x au ³¹		1625	x au ³¹	x au ³¹
3349	ProtoBurmish	steal	*ʔkuH	ˀku²	ˀk u ²		811	ˀk u ²	ˀk|ˀk|ˀk|k|k u|u|u|u|u ²|²|²|²|²
3350	AchangLongchuan	steam	a³¹ sɔʔ⁵⁵	a³¹+sɔʔ⁵⁵	a ³¹ + s ɔ ʔ ⁵⁵		3077 536	a ³¹ + s ɔ ʔ ⁵⁵	a ³¹ + s ɔ ʔ ⁵⁵
